mensaje
Hola Daiana. Manana nosotros tenemos organizacion de computadoras tenes idea si tenemos clases?
Che alguien sabe si manana para el grupo 2 habria que ir presencial?
Si hay algo es virtual manana no?
Esos 3 niveles se pueden aprobar directamente presentando algun examen internacional de ingles?
Holaa en que aula es la clase?
bueno manana si esta confirmada la clase no?
basicamente la clase ya tendria que haber empezado hace 16 minutos ya sea virtual o presencial y todavia no se sabe nada de ninguna de las dos no?
el tema esdonde lo publico?
Entonces estan en clase o no estan el clase?
en el aula esta miguel?
Al final no.mandaron link ni nada?
Llegando ¿En que aula estan?
Pueden preguntar en el departamento de tecnologia si el jueves es presencial y en que aula van a estar?
La proxima clase es virtual entonces?
Dan la clase igual?
Que aula es?
buenas saben si la clase de manana es virtual?
En que edificio y aula es hoy?
Que onda la clase como estuvo?
Manana alguien podra grabar la clase si es que no lo hace el profe??
Alguien tiene el link gente?
alguin tiene link de invitacion para el chico que esta en el meet?
alguien tiene lo de la clase de organizacion??
La proxima clase es presencial??
Y el lunes es presencial o virtual la clase virtual no?
Chicos el tp de matematica hay que entregarlo?
Hola una pregunta el tp 1 de matematica se entrega?
Hola un pregunta manana es presencial?
de la clase de manana que hay que hacer del campus?
Esta repasando la primer clase no?
que ejercicio es?
Alguno se acuerda la pregunta de examen que dijo antes?
Cual fue el ultimo tema de hoy?
para manana era el tp 1 y 2 que nos dijo que hagamos no?
La clase de manana es virtual o presencial?
la profe todavia no inicio el zoom no?
nosotros los miercoles o sea manana no cursamos ninguna materia no??
chicos perdon que joda pero como me cambie de turno no tengo idea de lo que vieron en la primera clase de Expresion de Problemas y Algoritmos. Mi duda es estos ejercicios se hacen en diagrama NS en pseint????o tengo que hacerlos en pseudocodigo como en el curso de ingreso??
hola la guia de ejercicios de expresiones y algoritmos dijo que la arranquemos o que habia que hacerla? o la podes hacer para practicar y eso?
esa materia era la del cuadrito?
tienen grabadas las clases 1 y 2 de Organizacion de computadoras??
Che gente la clase de los viernes es SIEMPRE virtual??
Alguno pudo hacer el ejercicio 8 de programacion??
Queres mostrarme el ejercicio tomy?
Alguien sabe si se grabo la ultima clase de Organizacion de Computadoras?
Todavia no se sabe si manana es virtual o presencial?
Manana es virtual o presencial?
